"name1","name2","period","issue_num","p1","p2"
"adamklein","wesm","20120","743","222222","2222220"
"ruidc","wesm","20120","743","21220","2222220"
"adamklein","ruidc","20120","743","222222","21220"
"gwerbin","jreback","20161","743","2","2"
"jreback","kokes","20160","744","2","2"
"gdraps","wesm","20120","746","1","2"
"adamklein","wesm","20120","750","22","22"
"jdh2358","wesm","20120","753","2","2"
"adamklein","ghost","20120","756","1","11"
"adamklein","wesm","20120","756","1","2"
"ghost","wesm","20120","756","11","2"
"adamklein","soramame0518","20120","758","2","11"
"adamklein","wesm","20120","758","2","1"
"soramame0518","wesm","20120","758","11","1"
"adamklein","wesm","20120","761","2","22"
"lodagro","wesm","20120","761","2","22"
"gregglind","wesm","20120","761","1","22"
"adamklein","lodagro","20120","761","2","2"
"gregglind","lodagro","20120","761","1","2"
"adamklein","gregglind","20120","761","2","1"
"adamklein","CRP","20120","763","2","221"
"CRP","wesm","20120","763","221","2"
"adamklein","wesm","20120","763","2","2"
"chrisjbillington","wesm","20120","768","101","201"
"ellisonbg","takluyver","20120","772","20021","022"
"lodagro","takluyver","20120","772","22220","022"
"ellisonbg","lodagro","20120","772","20021","22220"
"takluyver","wesm","20120","772","022","22122"
"ellisonbg","wesm","20120","772","20021","22122"
"lodagro","wesm","20120","772","22220","22122"
"adamklein","xdong","20120","780","0","1"
"bertrandhaut","jreback","20141","781","0222","22"
"jorisvandenbossche","jreback","20141","781","2","22"
"bertrandhaut","jorisvandenbossche","20141","781","0222","2"
"dalejung","esthers","20130","783","0","22"
"esthers","wesm","20130","783","22","2"
"dalejung","wesm","20130","783","0","2"
"dalejung","woodb","20131","783","20","122"
"phobson","woodb","20131","783","222","122"
"ghost","woodb","20131","783","1222","122"
"jreback","woodb","20131","783","2","122"
"jtratner","woodb","20131","783","20","122"
"olgabot","woodb","20131","783","2","122"
"dalejung","phobson","20131","783","20","222"
"ghost","phobson","20131","783","1222","222"
"jreback","phobson","20131","783","2","222"
"jtratner","phobson","20131","783","20","222"
"olgabot","phobson","20131","783","2","222"
"dalejung","ghost","20131","783","20","1222"
"dalejung","jreback","20131","783","20","2"
"ghost","jreback","20131","783","1222","2"
"dalejung","jtratner","20131","783","20","20"
"ghost","jtratner","20131","783","1222","20"
"jreback","jtratner","20131","783","2","20"
"dalejung","olgabot","20131","783","20","2"
"ghost","olgabot","20131","783","1222","2"
"jreback","olgabot","20131","783","2","2"
"jtratner","olgabot","20131","783","20","2"
"femtotrader","wesm","20161","783","22","2"
"jreback","wesm","20161","783","2","2"
"femtotrader","jreback","20161","783","22","2"
"timmie","wesm","20120","784","2","2"
"adamklein","wesm","20120","794","21","2"
"hammer","takluyver","20120","795","2","222"
"hammer","wesm","20120","795","2","222"
"takluyver","wesm","20120","795","222","222"
"adamklein","wesm","20120","797","2","2"
"changhiskhan","wesm","20120","806","2","2"
"changhiskhan","wesm","20120","807","12","21"
