name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
dieterv77,wesm,2011-12-12,0,3,0,0,0.0,1.0,0.0,0.0,4,1,0.0,1.0
timClicks,wesm,2011-12-12,2,0,0,0,0.5,0.0,0.0,0.0,5,1,1.0,0.75
gregglind,wesm,2011-12-12,3,1,1,0,0.38,0.12,0.12,0.0,6,1,1.0,0.75
gregglind,timClicks,2011-12-12,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
solomon-negusse,wesm,2011-12-12,2,0,1,0,0.5,0.0,0.25,0.0,4,1,1.0,1.0
reckoner,wesm,2011-12-12,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
craustin,wesm,2011-12-12,3,0,0,0,0.5,0.0,0.0,0.0,5,1,1.0,1.0
craustin,wesm,2012-01-02,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
catawbasam,wesm,2011-12-12,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
mattharrison,wesm,2011-12-12,8,0,0,0,0.67,0.0,0.0,0.0,7,1,0.6699999999999999,1.0
mattharrison,wesm,2011-12-12,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
mattharrison,wesm,2011-12-19,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
gregglind,wesm,2011-12-12,3,3,2,1,0.38,0.38,0.25,0.12,6,1,0.5,0.75
mattharrison,wesm,2011-12-19,4,2,1,1,0.33,0.17,0.08,0.08,7,1,0.75,0.6699999999999999
changhiskhan,wesm,2012-04-30,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
changhiskhan,wesm,2012-05-07,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
adamklein,wesm,2011-12-26,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
adamklein,wesm,2012-01-09,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
gregglind,wesm,2011-12-26,4,0,1,0,0.5,0.0,0.12,0.0,6,1,1.0,1.0
gregglind,wesm,2011-12-26,3,0,1,0,0.5,0.0,0.17,0.0,5,1,1.0,1.0
joonro,wesm,2011-12-26,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
adamklein,lodagro,2012-02-06,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
jreback,lodagro,2013-09-23,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
cpcloud,lodagro,2013-09-23,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
cpcloud,jreback,2013-09-23,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2011-12-26,8,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
adamklein,wesm,2011-12-26,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
adamklein,wesm,2012-01-02,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
reckoner,wesm,2011-12-26,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
stig,wesm,2012-01-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
jreback,soupault,2015-08-10,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
aman-thakral,wesm,2012-01-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
adamklein,wesm,2012-01-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
lbeltrame,wesm,2012-01-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
adamklein,lbeltrame,2012-01-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
