name1,name2,period,issue_num,p1,p2
"ghost","vjpai","20150","987","1","11"
"ghost","nicolasnoble","20150","987","1","1"
"ctiller","jtattermusch","20150","988","222","122"
"ctiller","murgatroid99","20150","989","12","2"
"ctiller","dklempner","20150","992","222","2"
"nicolasnoble","vnitinv","20150","994","2","2"
"nathanielmanistaatgoogle","vnitinv","20150","995","21","2"
"nathanielmanistaatgoogle","soltanmm","20160","995","2","2"
"amyznikov","ctiller","20150","999","2222222","222122"
"ctiller","vjpai","20150","999","222122","2"
"amyznikov","vjpai","20150","999","2222222","2"
"maxhawkins","vjpai","20150","999","2","2"
"larsonmpdx","vjpai","20150","999","2","2"
"ctiller","maxhawkins","20150","999","222122","2"
"amyznikov","maxhawkins","20150","999","2222222","2"
"larsonmpdx","maxhawkins","20150","999","2","2"
"ctiller","larsonmpdx","20150","999","222122","2"
"amyznikov","larsonmpdx","20150","999","2222222","2"
"nicolasnoble","soltanmm","20150","1000","222","2"
"nathanielmanistaatgoogle","soltanmm","20150","1000","2","2"
"nathanielmanistaatgoogle","nicolasnoble","20150","1000","2","222"
"ctiller","murgatroid99","20150","1001","22","2"
"ctiller","nicolasnoble","20150","1001","22","2"
"murgatroid99","nicolasnoble","20150","1001","2","2"
"vjpai","yang-g","20150","1003","22","012"
"ctiller","vjpai","20150","1004","2202","22202222112222"
"vjpai","w359405949","20150","1004","22202222112222","222220"
"ctiller","w359405949","20150","1004","2202","222220"
"ctiller","vjpai","20150","1007","2","22"
"nicolasnoble","vjpai","20150","1009","1","2"
"jboeuf","yang-g","20150","1011","22","22"
"dklempner","vjpai","20150","1012","2","12"
"ctiller","nicolasnoble","20150","1015","02020","22200200"
"ctiller","vjpai","20150","1015","02020","22"
"nicolasnoble","vjpai","20150","1015","22200200","22"
"dklempner","googlebot","20150","1016","2","1"
"ctiller","googlebot","20150","1016","2","1"
"ctiller","dklempner","20150","1016","2","2"
"feilengcui008","googlebot","20150","1018","21","11"
"googlebot","tbetbetbe","20150","1018","11","1"
"feilengcui008","tbetbetbe","20150","1018","21","1"
"murgatroid99","tbetbetbe","20150","1018","1","1"
"googlebot","murgatroid99","20150","1018","11","1"
"feilengcui008","murgatroid99","20150","1018","21","1"
"jonywtf","murgatroid99","20150","1019","22","22"
"jonywtf","nicolasnoble","20150","1019","22","2"
"murgatroid99","nicolasnoble","20150","1019","22","2"
"namilantu","nathanielmanistaatgoogle","20150","1020","222","2"
"namilantu","vnitinv","20150","1020","222","1"
"nathanielmanistaatgoogle","vnitinv","20150","1020","2","1"
